text	code	workerid	probid	subid	line	indent
if t[size of t - 1] is '/', set t to substring of t starting at 0 to size of t - 1	if (t[t.size() - 1] == '/') t = t.substr(0, t.size() - 1);	01	20A	46375220	12	1
if t is "", set t to "/"	if (t == "") t = "/";	01	20A	46375220	13	1
print t print newline	cout << t << endl;	01	20A	46375220	14	1
	return 0;	01	20A	46375220	15	1
	}	01	20A	46375220	16	0
	int main() {	54	20A	48384752	0	0
declare string variable str	string str;	54	20A	48384752	1	1
read str	cin >> str;	54	20A	48384752	2	1
ans is vector of characters	vector<char> ans;	54	20A	48384752	3	1
assign value false to the boolean flag	bool flag = false;	54	20A	48384752	4	1
for long long i from 0 to length of str exclusive	for (long long(i) = (0); (i) < (str.size()); ++i) {	54	20A	48384752	5	1
if str[i] is '/'	if (str[i] == '/') {	54	20A	48384752	6	2
if flag is true, continue	if (flag) continue;	54	20A	48384752	7	3
set flag to true	flag = true;	54	20A	48384752	8	3
else	} else {	54	20A	48384752	9	2
set flag to false	flag = false;	54	20A	48384752	10	3
	}	54	20A	48384752	11	2
push str[i] into ans	ans.push_back(str[i]);	54	20A	48384752	12	2
	}	54	20A	48384752	13	1
for i = 0 to length of ans exclusive	for (long long(i) = (0); (i) < (ans.size()); ++i) {	54	20A	48384752	14	1
if length of ans > 1 and i = length of ans - and ans[i] = '/', continue the loop	if (ans.size() > 1 && i == ans.size() - 1 && ans[i] == '/') continue;	54	20A	48384752	15	2
print ans[i]	cout << ans[i];	54	20A	48384752	16	2
	}	54	20A	48384752	17	1
print new line	cout << endl;	54	20A	48384752	18	1
	return 0;	54	20A	48384752	19	1
	}	54	20A	48384752	20	0
	int main() {	01	20A	48384752	0	0
create string str	string str;	01	20A	48384752	1	1
read str	cin >> str;	01	20A	48384752	2	1
create character vector ans	vector<char> ans;	01	20A	48384752	3	1
create boolean flag with flag = false	bool flag = false;	01	20A	48384752	4	1
for i = 0 to size of str exclusive	for (long long(i) = (0); (i) < (str.size()); ++i) {	01	20A	48384752	5	1
if str[i] is '/'	if (str[i] == '/') {	01	20A	48384752	6	2
if flag is true, break current loop iteration	if (flag) continue;	01	20A	48384752	7	3
set flag to true	flag = true;	01	20A	48384752	8	3
else	} else {	01	20A	48384752	9	2
set flag to false	flag = false;	01	20A	48384752	10	3
	}	01	20A	48384752	11	2
add element str[i] to end of ans	ans.push_back(str[i]);	01	20A	48384752	12	2
	}	01	20A	48384752	13	1
for i = 0 to size of ans exclusive	for (long long(i) = (0); (i) < (ans.size()); ++i) {	01	20A	48384752	14	1
if size of ans is greater than 1 and i is size of ans - 1 and ans[i] is '/', break current loop iteration	if (ans.size() > 1 && i == ans.size() - 1 && ans[i] == '/') continue;	01	20A	48384752	15	2
print ans[i]	cout << ans[i];	01	20A	48384752	16	2
	}	01	20A	48384752	17	1
print newline	cout << endl;	01	20A	48384752	18	1
	return 0;	01	20A	48384752	19	1
	}	01	20A	48384752	20	0
	int main() {	54	20A	47795453	0	0
s = string	string s;	54	20A	47795453	1	1
read s	cin >> s;	54	20A	47795453	2	1
create integer t with value 2	int t = 2;	54	20A	47795453	3	1
declare empty strings ans and temps	string ans = "", temps = "";	54	20A	47795453	4	1
set value of booleans chk and lol to false	bool chk = false, lol = false;	54	20A	47795453	5	1
for integer i = 0 to size of s exclusive	for (int i = 0; i < s.size(); i++) {	54	20A	47795453	6	1
if isalpha(s[i])	if (isalpha(s[i])) {	54	20A	47795453	7	2
increase temps by s[i]	temps += s[i];	54	20A	47795453	8	3
set chk to true	chk = true;	54	20A	47795453	9	3
else	} else {	54	20A	47795453	10	2
if chk is true	if (chk == true) {	54	20A	47795453	11	3
append string "/" + temps to ans	ans += "/" + temps;	54	20A	47795453	12	4
set value of temps to an empty string	temps = "";	54	20A	47795453	13	4
set chk to false	chk = false;	54	20A	47795453	14	4
	}	54	20A	47795453	15	3
set lol to true	lol = true;	54	20A	47795453	16	3
	}	54	20A	47795453	17	2
	}	54	20A	47795453	18	1
if temps is not empty attach "/" and temps to ans	if (temps.size() != 0) ans += "/" + temps;	54	20A	47795453	19	1
if and is empty and lol is true append character "/" to ans	if (ans.size() == 0 && lol == true) ans += "/";	54	20A	47795453	20	1
print ans and a new line	cout << ans << endl;	54	20A	47795453	21	1
	}	54	20A	47795453	22	0
	int main() {	08	20A	48893205	0	0
let s be string	string s;	08	20A	48893205	1	1
read s	cin >> s;	08	20A	48893205	2	1
Let l be the size of string s	int l = s.size();	08	20A	48893205	3	1
let n = 0	int n = 0;	08	20A	48893205	4	1
for i = 0 to n exclusive	for (int i = 1; i < l; i++) {	08	20A	48893205	5	1
if s[i] is not equal to s[i-1] and s[i] is equal to /	if (!(s[i] == s[i - 1] && s[i] == '/')) {	08	20A	48893205	6	2
increment n	++n;	08	20A	48893205	7	3
print s[i-1]	cout << s[i - 1];	08	20A	48893205	8	3
	}	08	20A	48893205	9	2
	}	08	20A	48893205	10	1
if s[i-1] is not equal to / or n = 0	if (s[l - 1] != '/' || n == 0) cout << s[l - 1];	08	20A	48893205	11	1
end of the line	cout << endl;	08	20A	48893205	12	1
	return 0;	08	20A	48893205	13	1
	}	08	20A	48893205	14	0
	int main() {	01	20A	48893205	0	0
create string s	string s;	01	20A	48893205	1	1
read s	cin >> s;	01	20A	48893205	2	1
create integer l with l = size of s	int l = s.size();	01	20A	48893205	3	1
create integer n with n = 0	int n = 0;	01	20A	48893205	4	1
for i = 1 to l exclusive	for (int i = 1; i < l; i++) {	01	20A	48893205	5	1
if (s[i] is s[i-1] and s[i] is '/') is false	if (!(s[i] == s[i - 1] && s[i] == '/')) {	01	20A	48893205	6	2
increment n	++n;	01	20A	48893205	7	3
print s[i-1]	cout << s[i - 1];	01	20A	48893205	8	3
	}	01	20A	48893205	9	2
	}	01	20A	48893205	10	1
if s[l-1] is not '/' or n is 0, print s[l-1]	if (s[l - 1] != '/' || n == 0) cout << s[l - 1];	01	20A	48893205	11	1
print newline	cout << endl;	01	20A	48893205	12	1
	return 0;	01	20A	48893205	13	1
	}	01	20A	48893205	14	0
create constant integer maxn with maxn = 200005	const int maxn = 200005;	01	18A	48404526	0	0
create constant integer mod with mod = 1e9 + 7	const int mod = 1e9 + 7;	01	18A	48404526	1	0
create constant double eps with eps = 1e-8	const double eps = 1e-8;	01	18A	48404526	2	0
create constant double PI with PI = acosign of -1	const double PI = acos(-1.0);	01	18A	48404526	3	0
declare judge with doubles x1, x2, x3, y1, y2, y3 as arguments, returning double	double judge(double x1, double x2, double x3, double y1, double y2, double y3) {	01	18A	48404526	4	0
if x1 is x2 and y1 is y2 or x2 is x3 and y2 is y3 or x3 is x1 and y3 is y1, return 0 from function	if (x1 == x2 && y1 == y2 || x2 == x3 && y2 == y3 || x3 == x1 && y3 == y1) return 0;	01	18A	48404526	5	1
create double array a with size 3	double a[3];	01	18A	48404526	6	1
set a[0] to (x1 - x2) * (x1 - x2) + (y1 - y2) * (y1 - y2)	a[0] = (x1 - x2) * (x1 - x2) + (y1 - y2) * (y1 - y2);	01	18A	48404526	7	1
set a[1] to (x2 - x3) * (x2 - x3) + (y2 - y3) * (y2 - y3)	a[1] = (x2 - x3) * (x2 - x3) + (y2 - y3) * (y2 - y3);	01	18A	48404526	8	1
set a[2] to (x1 - x3) * (x1 - x3) + (y1 - y3) * (y1 - y3)	a[2] = (x1 - x3) * (x1 - x3) + (y1 - y3) * (y1 - y3);	01	18A	48404526	9	1
sort elements from a to a + 3	sort(a, a + 3);	01	18A	48404526	10	1
if a[0] + a[1] is a[2], return 1 from function	if (a[0] + a[1] == a[2]) return 1;	01	18A	48404526	11	1
	return 0;	01	18A	48404526	12	1
	}	01	18A	48404526	13	0
create integer array dx with dx = {0, 0, 1, -1}	int dx[] = {0, 0, 1, -1};	01	18A	48404526	14	0
create integer array dy with dy = {1, -1, 0, 0}	int dy[] = {1, -1, 0, 0};	01	18A	48404526	15	0
	int main() {	01	18A	48404526	16	0
create doubles x1, x2, x3, y1, y2, y3	double x1, x2, x3, y1, y2, y3;	01	18A	48404526	17	1
while read x1 read y1 read x2 read y2 read x3 read y3 is true	while (cin >> x1 >> y1 >> x2 >> y2 >> x3 >> y3) {	01	18A	48404526	18	1
if result of run judge with arguments x1, x2, x3, y1, y2, y3 is true	if (judge(x1, x2, x3, y1, y2, y3))	01	18A	48404526	19	2
print "RIGHT" print newline	cout << "RIGHT" << endl;	01	18A	48404526	20	3
else	else {	01	18A	48404526	21	2
create integer flag with flag = 0	int flag = 0;	01	18A	48404526	22	3
for i = 0 to 4 exclusive	for (int i = 0; i < 4; i++) {	01	18A	48404526	23	3
create doubles xx, yy with xx = x1 + dx[i], yy = y1+dy[i]	double xx = x1 + dx[i], yy = y1 + dy[i];	01	18A	48404526	24	4
if result of run judge with arguments xx, x2, x3, yy, y2, y3 is true	if (judge(xx, x2, x3, yy, y2, y3)) {	01	18A	48404526	25	4
set flag to 1	flag = 1;	01	18A	48404526	26	5
print "ALMOST" print newline	cout << "ALMOST" << endl;	01	18A	48404526	27	5
break loop	break;	01	18A	48404526	28	5
	}	01	18A	48404526	29	4
	}	01	18A	48404526	30	3
if flag is true, break current loop iteration	if (flag) continue;	01	18A	48404526	31	3
for i = 0 to 4 exclusive	for (int i = 0; i < 4; i++) {	01	18A	48404526	32	3
create doubles xx, yy, with xx = x2 + dx[i], yy = y2 + dy[i]	double xx = x2 + dx[i], yy = y2 + dy[i];	01	18A	48404526	33	4
if result of run judge with arguments x1, xx, x3, y1, yy, y3 is true	if (judge(x1, xx, x3, y1, yy, y3)) {	01	18A	48404526	34	4
set flag to 1	flag = 1;	01	18A	48404526	35	5
print "ALMOST" print newline	cout << "ALMOST" << endl;	01	18A	48404526	36	5
break loop	break;	01	18A	48404526	37	5
	}	01	18A	48404526	38	4
	}	01	18A	48404526	39	3
if flag is true, break current loop iteration	if (flag) continue;	01	18A	48404526	40	3
for i = 0 to 4 exclusive	for (int i = 0; i < 4; i++) {	01	18A	48404526	41	3
create double xx, yy with xx = x3 + dx[i], yy = y3+dy[i]	double xx = x3 + dx[i], yy = y3 + dy[i];	01	18A	48404526	42	4
if result of run judge with x1, x2, xx, y1, y2, yy is true	if (judge(x1, x2, xx, y1, y2, yy)) {	01	18A	48404526	43	4
set flag to 1	flag = 1;	01	18A	48404526	44	5
print "ALMOST" print newline	cout << "ALMOST" << endl;	01	18A	48404526	45	5
break loop	break;	01	18A	48404526	46	5
	}	01	18A	48404526	47	4
	}	01	18A	48404526	48	3
if not flag, print "NEITHER" print newline	if (!flag) cout << "NEITHER" << endl;	01	18A	48404526	49	3
	}	01	18A	48404526	50	2
	}	01	18A	48404526	51	1
	return 0;	01	18A	48404526	52	1
	}	01	18A	48404526	53	0
	int main() {	54	20A	48432322	0	0
let s be string	string s;	54	20A	48432322	1	1
while can read input into s	while (cin >> s) {	54	20A	48432322	2	1
integer sz = size of s	int sz = s.size();	54	20A	48432322	3	2
ns = empty string	string ns = "";	54	20A	48432322	4	2
create integer flag with value 0	int flag = 0;	54	20A	48432322	5	2
for i = 0 to sz exclusive	for (int i = 0; i < sz; i++) {	54	20A	48432322	6	2
if s[i] is equal to '/'	if (s[i] == '/') {	54	20A	48432322	7	3
increase flag	flag++;	54	20A	48432322	8	4
else	} else {	54	20A	48432322	9	3
set flag to 0	flag = 0;	54	20A	48432322	10	4
	}	54	20A	48432322	11	3
if flag and 0 or flag is equal to 1 increase ns by s[i]	if (flag == 0 || flag == 1) { ns += s[i]; }	54	20A	48432322	12	3
	}	54	20A	48432322	13	2
if length of ns is equal to 1	if (ns.size() == 1)	54	20A	48432322	14	2
print ns and a new line	cout << ns << endl;	54	20A	48432322	15	3
else if last element of ns is '/'	else if (ns[ns.size() - 1] == '/')	54	20A	48432322	16	2
print ns without last symbol and a new line	cout << ns.substr(0, ns.size() - 1) << endl;	54	20A	48432322	17	3
else	else	54	20A	48432322	18	2
print ns and a new line	cout << ns << endl;	54	20A	48432322	19	3
	}	54	20A	48432322	20	1
	return 0;	54	20A	48432322	21	1
	}	54	20A	48432322	22	0
	int main() {	01	20A	48432322	0	0
create string s	string s;	01	20A	48432322	1	1
while read s is true	while (cin >> s) {	01	20A	48432322	2	1
create integer sz with sz = size of s	int sz = s.size();	01	20A	48432322	3	2
create string ns with ns = ""	string ns = "";	01	20A	48432322	4	2
create integer flag with flag = 0	int flag = 0;	01	20A	48432322	5	2
for i = 0 to sz exclusive	for (int i = 0; i < sz; i++) {	01	20A	48432322	6	2
if s[i] is '/'	if (s[i] == '/') {	01	20A	48432322	7	3
increment flag	flag++;	01	20A	48432322	8	4
else	} else {	01	20A	48432322	9	3
set flag to 0	flag = 0;	01	20A	48432322	10	4
	}	01	20A	48432322	11	3
if flag is 0 or flag is 1, increment ns by s[i]	if (flag == 0 || flag == 1) { ns += s[i]; }	01	20A	48432322	12	3
	}	01	20A	48432322	13	2
if size of ns is 1	if (ns.size() == 1)	01	20A	48432322	14	2
print ns print newline	cout << ns << endl;	01	20A	48432322	15	3
else if ns[size of ns - 1] is '/'	else if (ns[ns.size() - 1] == '/')	01	20A	48432322	16	2
print substring of ns from 0 to size of ns - 1, print newline	cout << ns.substr(0, ns.size() - 1) << endl;	01	20A	48432322	17	3
else	else	01	20A	48432322	18	2
print ns print newline	cout << ns << endl;	01	20A	48432322	19	3
	}	01	20A	48432322	20	1
	return 0;	01	20A	48432322	21	1
	}	01	20A	48432322	22	0
	int main() {	54	20A	48465690	0	0
declare string variable s	string s;	54	20A	48465690	1	1
read s	cin >> s;	54	20A	48465690	2	1
let vv be a vector of strings	vector<string> vv;	54	20A	48465690	3	1
create integers i and j	int i, j;	54	20A	48465690	4	1
n = length of s	int n = s.size();	54	20A	48465690	5	1
str is an empty string, temp is string	string str = "", temp;	54	20A	48465690	6	1
set temp to str	temp = str;	54	20A	48465690	7	1
if s[0] is equal to '/'	if (s[0] == '/') {	54	20A	48465690	8	1
push "/" into vv	vv.push_back("/");	54	20A	48465690	9	2
set value of i to 0	i = 0;	54	20A	48465690	10	2
for j = i to n exclusive	for (j = i + 1; j < n; j++) {	54	20A	48465690	11	2
if s[j] != '/', break the loop	if (s[j] != '/') break;	54	20A	48465690	12	3
	}	54	20A	48465690	13	2
	}	54	20A	48465690	14	1
set value of i to j	i = j;	54	20A	48465690	15	1
loop while i < n incrementing i	for (; i < n; i++) {	54	20A	48465690	16	1
if s[i] is equal to '/'	if (s[i] == '/') {	54	20A	48465690	17	2
if temp != str, push str into vv	if (temp != str) vv.push_back(str);	54	20A	48465690	18	3
str = ""	str = "";	54	20A	48465690	19	3
for j = i to n exclusive	for (j = i + 1; j < n; j++) {	54	20A	48465690	20	3
if s[j] is not '/', break	if (s[j] != '/') break;	54	20A	48465690	21	4
	}	54	20A	48465690	22	3
i = j - 1	i = j - 1;	54	20A	48465690	23	3
if i != n - 1, push "/" into vv	if (i != n - 1) vv.push_back("/");	54	20A	48465690	24	3
else	} else {	54	20A	48465690	25	2
increase str by s[i]	str += s[i];	54	20A	48465690	26	3
	}	54	20A	48465690	27	2
	}	54	20A	48465690	28	1
if str != temp, push str into vv	if (str != temp) vv.push_back(str);	54	20A	48465690	29	1
print all elements of vv one by one	for (i = 0; i < vv.size(); i++) cout << vv[i];	54	20A	48465690	30	1
print '\n'	cout << '\n';	54	20A	48465690	31	1
	}	54	20A	48465690	32	0
	int main() {	01	20A	48465690	0	0
create string s	string s;	01	20A	48465690	1	1
read s	cin >> s;	01	20A	48465690	2	1
create string vector vv	vector<string> vv;	01	20A	48465690	3	1
create integers i, j	int i, j;	01	20A	48465690	4	1
create integer n with n = size of s	int n = s.size();	01	20A	48465690	5	1
create strings str, temp with str = "",	string str = "", temp;	01	20A	48465690	6	1
set temp to str	temp = str;	01	20A	48465690	7	1
if s[0] is /	if (s[0] == '/') {	01	20A	48465690	8	1
add element / to end of vv	vv.push_back("/");	01	20A	48465690	9	2
set i to 0	i = 0;	01	20A	48465690	10	2
for j = i + 1 to n exclusive	for (j = i + 1; j < n; j++) {	01	20A	48465690	11	2
if s[j] is not /, break loop	if (s[j] != '/') break;	01	20A	48465690	12	3
	}	01	20A	48465690	13	2
	}	01	20A	48465690	14	1
set i to j	i = j;	01	20A	48465690	15	1
for i to n exclusive	for (; i < n; i++) {	01	20A	48465690	16	1
set s[i] to /	if (s[i] == '/') {	01	20A	48465690	17	2
if temp is not str, add element str to end of vv	if (temp != str) vv.push_back(str);	01	20A	48465690	18	3
set str to ""	str = "";	01	20A	48465690	19	3
for j = i + 1 to n exclusive	for (j = i + 1; j < n; j++) {	01	20A	48465690	20	3
if s[j] is not /, break loop	if (s[j] != '/') break;	01	20A	48465690	21	4
	}	01	20A	48465690	22	3
set i to j - 1	i = j - 1;	01	20A	48465690	23	3
if i is not n - 1, add element / to end of vv	if (i != n - 1) vv.push_back("/");	01	20A	48465690	24	3
else	} else {	01	20A	48465690	25	2
increment str by s[i]	str += s[i];	01	20A	48465690	26	3
	}	01	20A	48465690	27	2
	}	01	20A	48465690	28	1
if str is not temp, add element str to end of vv	if (str != temp) vv.push_back(str);	01	20A	48465690	29	1
for i = 0 to size of vv, print vv[i]	for (i = 0; i < vv.size(); i++) cout << vv[i];	01	20A	48465690	30	1
print \n	cout << '\n';	01	20A	48465690	31	1
	}	01	20A	48465690	32	0
create constant integer maxn with maxn = 200005	const int maxn = 200005;	01	18A	48404521	0	0
create constant integer mod with mod = 1e9 + 7	const int mod = 1e9 + 7;	01	18A	48404521	1	0
create constant double eps with eps = 1e-8	const double eps = 1e-8;	01	18A	48404521	2	0
create constant double PI with PI = acosign of -1.0	const double PI = acos(-1.0);	01	18A	48404521	3	0
declare judge with doubles x1, x2, x3, y1, y2, y3 as arguments, returning double	double judge(double x1, double x2, double x3, double y1, double y2, double y3) {	01	18A	48404521	4	0
if x1 is x2 and y1 is y2 or x2 is x3 and y2 is y3 or x3 is x1 and y3 is y1, return 0 from function	if (x1 == x2 && y1 == y2 || x2 == x3 && y2 == y3 || x3 == x1 && y3 == y1) return 0;	01	18A	48404521	5	1
create double array a of size 3	double a[3];	01	18A	48404521	6	1
set a[0] to (x1 - x2) * (x1 - x2) + (y1 - y2) * (y1 - y2)	a[0] = (x1 - x2) * (x1 - x2) + (y1 - y2) * (y1 - y2);	01	18A	48404521	7	1
set a[1] to (x2 - x3) * (x2 - x3) + (y2 - y3) * (y2 - y3)	a[1] = (x2 - x3) * (x2 - x3) + (y2 - y3) * (y2 - y3);	01	18A	48404521	8	1
set a[2] to (x1 - x3) * (x1 - x3) + (y1 - y3) * (y1 - y3)	a[2] = (x1 - x3) * (x1 - x3) + (y1 - y3) * (y1 - y3);	01	18A	48404521	9	1
sort elements from a to a + 3	sort(a, a + 3);	01	18A	48404521	10	1
if a[0] + a[1] is a[2], return 1 from function	if (a[0] + a[1] == a[2]) return 1;	01	18A	48404521	11	1
	return 0;	01	18A	48404521	12	1
	}	01	18A	48404521	13	0
create integer array dx with dx = {0, 0, 1, -1}	int dx[] = {0, 0, 1, -1};	01	18A	48404521	14	0
create integer array dy with dy = {1, -1, 0, 0}	int dy[] = {1, -1, 0, 0};	01	18A	48404521	15	0
	int main() {	01	18A	48404521	16	0
create doubles x1, x2, x3, y1, y2, y3	double x1, x2, x3, y1, y2, y3;	01	18A	48404521	17	1
while read x1 read y1 read x2 read y2 read x3 read y3 is true	while (cin >> x1 >> y1 >> x2 >> y2 >> x3 >> y3) {	01	18A	48404521	18	1
if result of run judge with x1, x2, x3, y1, y2, y3 as arguments is true	if (judge(x1, x2, x3, y1, y2, y3))	01	18A	48404521	19	2
print "RIGHT" print newline	cout << "RIGHT" << endl;	01	18A	48404521	20	3
else	else {	01	18A	48404521	21	2
create integer flag with flag = 0	int flag = 0;	01	18A	48404521	22	3
for i = 0 to 4 exclusive	for (int i = 0; i < 4; i++) {	01	18A	48404521	23	3
create double xx with xx = x1 + dx[i], yy = y1 + dy[i]	double xx = x1 + dx[i], yy = y1 + dy[i];	01	18A	48404521	24	4
if result of run judge with xx, x2, x3, yy, y2, y3 as arguments is true	if (judge(xx, x2, x3, yy, y2, y3)) {	01	18A	48404521	25	4
set flag to 1	flag = 1;	01	18A	48404521	26	5
print "ALMOST" print newline	cout << "ALMOST" << endl;	01	18A	48404521	27	5
break loop	break;	01	18A	48404521	28	5
	}	01	18A	48404521	29	4
	}	01	18A	48404521	30	3
if flag is true, break current loop iteration	if (flag) continue;	01	18A	48404521	31	3
for i = 0 to 4 exclusive	for (int i = 0; i < 4; i++) {	01	18A	48404521	32	3
create doubles xx, yy with xx = x2 + dx[i], yy = y2 + dy[i]	double xx = x2 + dx[i], yy = y2 + dy[i];	01	18A	48404521	33	4
if run judge with arguments x1, xx, x3, y1, yy, y3 is true	if (judge(x1, xx, x3, y1, yy, y3)) {	01	18A	48404521	34	4
set flag to 1	flag = 1;	01	18A	48404521	35	5
print "ALMOST" print newline	cout << "ALMOST" << endl;	01	18A	48404521	36	5
break loop	break;	01	18A	48404521	37	5
	}	01	18A	48404521	38	4
	}	01	18A	48404521	39	3
if flag is true, break current loop iteration	if (flag) continue;	01	18A	48404521	40	3
for i = 0 to 4 exclusive	for (int i = 0; i < 4; i++) {	01	18A	48404521	41	3
create doubles xx, yy, with xx = x3 + dx[i], yy = y3 + dy[i]	double xx = x3 + dx[i], yy = y3 + dy[i];	01	18A	48404521	42	4
if result of run judge with arguments x1, x2, xx, y1, y2, yy is true	if (judge(x1, x2, xx, y1, y2, yy)) {	01	18A	48404521	43	4
set flag to 1	flag = 1;	01	18A	48404521	44	5
print "ALMOST" print newline	cout << "ALMOST" << endl;	01	18A	48404521	45	5
break loop	break;	01	18A	48404521	46	5
	}	01	18A	48404521	47	4
	}	01	18A	48404521	48	3
if not flag, print "NEITHER" print newline	if (!flag) cout << "NEITHER" << endl;	01	18A	48404521	49	3
	}	01	18A	48404521	50	2
	}	01	18A	48404521	51	1
	return 0;	01	18A	48404521	52	1
	}	01	18A	48404521	53	0
	int main() {	01	20A	45409946	0	0
create constant integer size with size = 101	const int size = 101;	01	20A	45409946	1	1
create character array str with size size	char str[size];	01	20A	45409946	2	1
read line from str to size	cin.getline(str, size);	01	20A	45409946	3	1
create boolean flag with flag = false	bool flag = false;	01	20A	45409946	4	1
create character pointer start with start = str	char *start = str;	01	20A	45409946	5	1
create character pointer s with s = start	char *s = start;	01	20A	45409946	6	1
create character pointer p with p = start	char *p = start;	01	20A	45409946	7	1
while value of s is not '\0'	while (*s != '\0') {	01	20A	45409946	8	1
if value of is is '/'	if (*s == '/') {	01	20A	45409946	9	2
if not flag	if (!flag) {	01	20A	45409946	10	3
set flag to true	flag = true;	01	20A	45409946	11	4
else	} else {	01	20A	45409946	12	3
increment s	s++;	01	20A	45409946	13	4
break current loop iteration	continue;	01	20A	45409946	14	4
	}	01	20A	45409946	15	3
else	} else {	01	20A	45409946	16	2
set flag to false	flag = false;	01	20A	45409946	17	3
	}	01	20A	45409946	18	2
set value of p to value of s	*p = *s;	01	20A	45409946	19	2
increment p	p++;	01	20A	45409946	20	2
increment s	s++;	01	20A	45409946	21	2
	}	01	20A	45409946	22	1
set value of p to '\0'	*p = '\0';	01	20A	45409946	23	1
create size_t len with len = string length of str	size_t len = strlen(str);	01	20A	45409946	24	1
if len is greater than 1 and str[len-1] is '/', set str[len-1] to '\0'	if (len > 1 && str[len - 1] == '/') { str[len - 1] = '\0'; }	01	20A	45409946	25	1
copy string to str from start	strcpy(str, start);	01	20A	45409946	26	1
